iter	Passed	Remaining
580	7222	5208
581	7233	5195
582	7245	5182
583	7260	5171
584	7272	5159
585	7287	5148
586	7297	5134
587	7309	5121
588	7320	5108
589	7330	5094
590	7342	5081
591	7355	5069
592	7366	5056
593	7377	5042
594	7388	5029
595	7399	5015
596	7412	5003
597	7428	4993
598	7441	4981
599	7455	4970
600	7469	4958
601	7479	4944
602	7492	4933
603	7504	4920
604	7518	4908
605	7528	4894
606	7541	4882
607	7552	4869
608	7564	4856
609	7575	4843
610	7587	4830
611	7598	4817
612	7611	4805
613	7621	4791
614	7633	4778
615	7643	4764
616	7655	4751
617	7666	4738
618	7677	4725
619	7688	4712
620	7698	4698
621	7711	4686
622	7725	4674
623	7737	4662
624	7747	4648
625	7758	4635
626	7770	4622
627	7781	4609
628	7792	4596
629	7805	4584
630	7818	4572
631	7833	4561
632	7847	4549
633	7859	4537
634	7871	4524
635	7883	4511
636	7896	4499
637	7908	4487
638	7921	4475
639	7935	4463
640	7949	4452
641	7959	4438
642	7973	4427
643	7987	4415
644	8000	4403
645	8012	4390
646	8024	4378
647	8037	4365
648	8049	4353
649	8061	4341
650	8072	4327
651	8085	4315
652	8095	4301
653	8108	4289
654	8119	4276
655	8130	4263
656	8146	4252
657	8158	4240
658	8170	4227
659	8182	4214
660	8195	4202
661	8206	4190
662	8219	4178
663	8233	4166
664	8249	4155
665	8262	4143
666	8274	4131
667	8286	4118
668	8297	4105
669	8311	4093
670	8322	4080
671	8334	4067
672	8348	4056
673	8360	4043
674	8372	4031
675	8385	4018
676	8396	4006
677	8409	3993
678	8420	3980
679	8434	3969
680	8447	3956
681	8458	3944
682	8471	3931
683	8483	3919
684	8494	3906
685	8510	3895
686	8523	3883
687	8539	3872
688	8554	3861
689	8566	3848
690	8576	3835
691	8588	3822
692	8606	3812
693	8618	3800
694	8630	3787
695	8641	3774
696	8654	3762
697	8668	3750
698	8680	3737
699	8692	3725
700	8703	3712
701	8718	3701
702	8731	3688
703	8743	3676
704	8756	3663
705	8767	3651
706	8780	3638
707	8791	3626
708	8804	3613
709	8817	3601
710	8828	3588
711	8841	3576
712	8852	3563
713	8868	3552
714	8882	3540
715	8895	3528
716	8906	3515
717	8918	3502
718	8931	3490
719	8943	3478
