iter	Passed	Remaining
565	272138	208671
566	272532	208124
567	272989	207625
568	273454	207133
569	273916	206638
570	274382	206147
571	274854	205660
572	275344	205186
573	275822	204704
574	276300	204222
575	276770	203733
576	277252	203254
577	277735	202776
578	278208	202289
579	278680	201802
580	279155	201318
581	279633	200836
582	280101	200347
583	280566	199855
584	281034	199366
585	281507	198880
586	281972	198389
587	282449	197906
588	282922	197421
589	283393	196934
590	283871	196452
591	284334	195960
592	284796	195467
593	285266	194980
594	285738	194494
595	286204	194004
596	286664	193510
597	287103	193002
598	287410	192406
599	287836	191891
600	288309	191407
601	288779	190920
602	289243	190430
603	289709	189941
604	290175	189453
605	290641	188964
606	291115	188481
607	291586	187996
608	292057	187511
609	292553	187042
610	293078	186591
611	293546	186104
612	294013	185617
613	294477	185127
614	294947	184642
615	295480	184195
616	295948	183708
617	296412	183219
618	296874	182728
619	297345	182243
620	297814	181758
621	298282	181271
622	298740	180778
623	299204	180289
624	299670	179802
625	300133	179313
626	300600	178826
627	301050	178329
628	301506	177836
629	301957	177340
630	302383	176829
631	302664	176235
632	303102	175732
633	303571	175247
634	304050	174769
635	304518	174284
636	304981	173796
637	305439	173305
638	305903	172818
639	306365	172330
640	306828	171842
641	307296	171358
642	307762	170872
643	308229	170387
644	308694	169901
645	309161	169416
646	309628	168931
647	310094	168446
648	310550	167955
649	311012	167468
650	311480	166984
651	311934	166492
652	312397	166005
653	312865	165522
654	313333	165038
655	313802	164554
656	314259	164065
657	314714	163574
658	315170	163085
659	315630	162597
660	316088	162108
661	316550	161622
662	316999	161129
663	317344	160583
664	317705	160047
665	318151	159553
666	318614	159068
667	319089	158589
668	319562	158109
669	320028	157626
670	320494	157142
671	320961	156659
672	321435	156180
673	321905	155698
674	322387	155223
675	322858	154742
676	323321	154258
677	323779	153771
678	324246	153288
679	324710	152805
680	325172	152319
681	325704	151868
682	326165	151382
683	326629	150898
684	327090	150413
685	327550	149928
686	328017	149446
687	328477	148960
688	328948	148480
689	329408	147994
690	329860	147506
691	330318	147020
692	330771	146532
693	331228	146045
694	331680	145557
695	332136	145071
696	332448	144521
697	332955	144058
698	333417	143574
699	333884	143093
700	334346	142609
701	334821	142132
702	335294	141653
703	335775	141178
704	336255	140702
705	336728	140223
706	337195	139743
707	337667	139263
708	338148	138788
709	338619	138309
710	339091	137830
711	339570	137354
712	340049	136878
713	340512	136395
714	340978	135914
715	341441	135432
716	341919	134955
717	342396	134479
718	342874	134002
719	343349	133524
720	343826	133047
721	344294	132567
722	344753	132083
723	345219	131603
724	345683	131121
725	346143	130638
726	346602	130154
727	346952	129630
728	347327	129116
729	347791	128635
730	348277	128162
731	348753	127685
732	349219	127205
733	349686	126725
734	350161	126248
735	350625	125767
736	351101	125291
737	351579	124815
738	352055	124338
739	352533	123863
740	353007	123385
741	353476	122906
742	353952	122430
743	354426	121953
744	354892	121473
745	355425	121016
746	355900	120539
747	356371	120060
748	356848	119584
749	357387	119129
750	357847	118647
751	358315	118167
752	358768	117683
753	359225	117200
754	359680	116717
755	360128	116232
756	360585	115749
757	361030	115263
758	361461	114772
759	361786	114248
760	362233	113763
761	362684	113279
762	363157	112802
763	363612	112320
764	364064	111836
765	364527	111356
766	364986	110875
767	365548	110426
768	366052	109958
769	366566	109493
770	367070	109026
771	367574	108558
772	368082	108091
773	368592	107625
774	369098	107157
775	369606	106690
776	370111	106222
777	370606	105751
778	371111	105283
779	371612	104813
780	372116	104345
781	372618	103875
782	373121	103406
783	373624	102937
784	374127	102467
785	374617	101995
786	375115	101524
787	375621	101055
788	376118	100584
789	376615	100113
790	377096	99637
791	377462	99131
792	377881	98640
793	378390	98171
794	378885	97699
795	379391	97230
796	379897	96761
797	380395	96290
798	380896	95820
799	381395	95348
800	381907	94880
801	382408	94410
802	382908	93938
803	383414	93469
804	383917	92998
805	384421	92528
806	384933	92059
807	385512	91606
808	386014	91135
809	386525	90666
810	387022	90193
811	387517	89720
812	388025	89250
813	388534	88780
814	389036	88308
815	389528	87834
816	390032	87363
817	390527	86889
818	391014	86414
819	391510	85941
820	392007	85468
821	392504	84994
822	392994	84520
823	393446	84037
824	393774	83527
